Name,Type,Adr [Hex],Size [B],Region
XMC_ETH_PHY_GetLinkSpeed,FUNC,0x08001825,38.0,FLASH 1 (cached)
XMC_SPI_CH_SetBaudrate,FUNC,0x080018DD,38.0,FLASH 1 (cached)
SPI_Master_set_data_size,FUNC,0x0800A09D,38.0,FLASH 1 (cached)
uxQueueMessagesWaiting,FUNC,0x08002B55,38.0,FLASH 1 (cached)
CCU8_module_init,FUNC,0x0800A985,38.0,FLASH 1 (cached)
xDHCPData,OBJECT,0x2000921C,36.0,DSRAM 1 (system)
FreeRTOS_OutputARPRequest,FUNC,0x08004719,36.0,FLASH 1 (cached)
get_registers_from_stack,FUNC,0x0800B775,36.0,FLASH 1 (cached)
XMC_ETH_PHY_GetLinkDuplex,FUNC,0x0800184D,36.0,FLASH 1 (cached)
SVC_Handler,FUNC,0x08003EF1,36.0,FLASH 1 (cached)
SPI2_Channel0_API,OBJECT,0x2000A0EC,36.0,DSRAM 1 (system)
VADC_global_init,FUNC,0x08009489,36.0,FLASH 1 (cached)
xQueueCreateMutex,FUNC,0x08002621,36.0,FLASH 1 (cached)
prvPortStartFirstTask,FUNC,0x08003E85,34.0,FLASH 1 (cached)
XMC_UART_CH_Transmit,FUNC,0x080019FD,34.0,FLASH 1 (cached)
FreeRTOS_GetUDPPayloadBuf,FUNC,0x08004DE9,34.0,FLASH 1 (cached)
XMC_USIC_CH_RXFIFO_SetSiz,FUNC,0x08001BC1,34.0,FLASH 1 (cached)
XMC_CCU4_SLICE_CaptureIni,FUNC,0x0800114D,34.0,FLASH 1 (cached)
VADC_Group0_Scan_Configur,OBJECT,0x2000A00C,32.0,DSRAM 1 (system)
CCU80_Channel1_Configurat,OBJECT,0x2000A154,32.0,DSRAM 1 (system)
CCU80_Channel2_Configurat,OBJECT,0x2000A1CC,32.0,DSRAM 1 (system)
CCU80_Channel0_Configurat,OBJECT,0x2000A1EC,32.0,DSRAM 1 (system)
CAN1_MessageObject_Receiv,OBJECT,0x2000A348,32.0,DSRAM 1 (system)
CAN2_MessageObject_Receiv,OBJECT,0x2000A368,32.0,DSRAM 1 (system)
CAN1_MessageObject_Transm,OBJECT,0x2000A3A0,32.0,DSRAM 1 (system)
CAN2_MessageObject_Transm,OBJECT,0x2000A458,32.0,DSRAM 1 (system)
UART_Channel_0_Configurat,OBJECT,0x2000A02C,32.0,DSRAM 1 (system)
SPI2_Channel0_Configurati,OBJECT,0x2000A0C0,32.0,DSRAM 1 (system)
VADC_callback_handler,FUNC,0x0800B92D,32.0,FLASH 1 (cached)
vIPSetDnsTimerEnableState,FUNC,0x08005785,32.0,FLASH 1 (cached)
_sbrk_r,FUNC,0x0800C229,32.0,FLASH 1 (cached)
SPI_Master_set_speed,FUNC,0x0800A0C5,32.0,FLASH 1 (cached)
XMC_UART_CH_Stop,FUNC,0x08001A35,32.0,FLASH 1 (cached)
XMC_CAN_Enable,FUNC,0x08000EC1,32.0,FLASH 1 (cached)
VADC_Global_Configuration,OBJECT,0x20009F50,32.0,DSRAM 1 (system)
UART_Channel_2_Configurat,OBJECT,0x2000A080,32.0,DSRAM 1 (system)
vIPSetDHCPTimerEnableStat,FUNC,0x0800572D,32.0,FLASH 1 (cached)
xTaskGetSchedulerState,FUNC,0x080037FD,32.0,FLASH 1 (cached)
FreeRTOS_NetworkDown,FUNC,0x08005009,32.0,FLASH 1 (cached)
XMC_CAN_MO_Transmit,FUNC,0x08000FC9,32.0,FLASH 1 (cached)
prvTCPSendReset,FUNC,0x080070AD,30.0,FLASH 1 (cached)
spi_reconfigure_rx_fifo,FUNC,0x08009CB5,30.0,FLASH 1 (cached)
vListInsertEnd,FUNC,0x080021CD,30.0,FLASH 1 (cached)
XMC_VADC_GLOBAL_Backgroun,FUNC,0x08001CA5,30.0,FLASH 1 (cached)
memchr,FUNC,0x0800C089,30.0,FLASH 1 (cached)
XMC_GPIO_SetHardwareContr,FUNC,0x08001871,30.0,FLASH 1 (cached)
reconfigure_rx_fifo,FUNC,0x08009531,28.0,FLASH 1 (cached)
CCU40_Channel1_Configurat,OBJECT,0x2000A240,28.0,DSRAM 1 (system)
CCU40_Channel0_Configurat,OBJECT,0x2000A180,28.0,DSRAM 1 (system)
CCU42_Channel0_Configurat,OBJECT,0x2000A1A0,28.0,DSRAM 1 (system)
CCU40_Channel3_Configurat,OBJECT,0x2000A224,28.0,DSRAM 1 (system)
XMC_ETH_PHY_GetLinkStatus,FUNC,0x08001809,28.0,FLASH 1 (cached)
XMC_USIC_CH_RXFIFO_SetInt,FUNC,0x08001C19,28.0,FLASH 1 (cached)
ulApplicationGetNextSeque,FUNC,0x0800B9C1,28.0,FLASH 1 (cached)
XMC_CAN_AllocateMOtoNodeL,FUNC,0x08000E95,28.0,FLASH 1 (cached)
_ZN8LedTask_D0Ev,FUNC,0x0800B685,28.0,FLASH 1 (cached)
UART_Channel_2_Control,OBJECT,0x20009BB0,28.0,DSRAM 1 (system)
XMC_USIC_CH_TXFIFO_SetInt,FUNC,0x08001BFD,28.0,FLASH 1 (cached)
vNetworkSocketsInit,FUNC,0x080057F5,28.0,FLASH 1 (cached)
UART_Channel_0_Control,OBJECT,0x20009BCC,28.0,DSRAM 1 (system)
XMC_CCU4_SLICE_StartConfi,FUNC,0x08001171,28.0,FLASH 1 (cached)
uxRand,FUNC,0x0800B99D,28.0,FLASH 1 (cached)
__Xmc4500_reset_cortex_m,FUNC,0x08000201,28.0,FLASH 1 (cached)
XMC_CCU8_SLICE_StartConfi,FUNC,0x080012FD,28.0,FLASH 1 (cached)
UART_callback_handler,FUNC,0x0800B911,28.0,FLASH 1 (cached)
SPI2_Channel0_Control,OBJECT,0x20009EC8,28.0,DSRAM 1 (system)
HardFault_Handler,FUNC,0x0800B7B5,26.0,FLASH 1 (cached)
memcpy,FUNC,0x0800A561,26.0,FLASH 1 (cached)
UsageFault_Handler,FUNC,0x0800B7ED,26.0,FLASH 1 (cached)
xEventGroupCreate,FUNC,0x08001F59,26.0,FLASH 1 (cached)
XMC_UART_CH_DisableEvent,FUNC,0x08001A55,26.0,FLASH 1 (cached)
MemManage_Handler,FUNC,0x0800B7D1,26.0,FLASH 1 (cached)
BusFault_Handler,FUNC,0x0800B799,26.0,FLASH 1 (cached)
xSendEventToIPTask,FUNC,0x08005029,26.0,FLASH 1 (cached)
prvResetNextTaskUnblockTi,FUNC,0x08002CAD,24.0,FLASH 1 (cached)
ucDHCPRequestOptions.6128,OBJECT,0x0800C39C,24.0,FLASH 1 (cached)
XMC_SCU_RESET_DeassertPer,FUNC,0x08000D79,24.0,FLASH 1 (cached)
vTaskInternalSetTimeOutSt,FUNC,0x08003735,24.0,FLASH 1 (cached)
XMC_SCU_CLOCK_GetPeripher,FUNC,0x08000D91,24.0,FLASH 1 (cached)
xIsCallingFromIPTask,FUNC,0x08004DD1,24.0,FLASH 1 (cached)
XMC_CAN_NODE_EnableEvent,FUNC,0x08001021,24.0,FLASH 1 (cached)
_ZN8LedTask_D2Ev,FUNC,0x0800B66D,24.0,FLASH 1 (cached)
pvTaskIncrementMutexHeldC,FUNC,0x08003A35,24.0,FLASH 1 (cached)
XMC_USIC_CH_SetInterruptN,FUNC,0x08001BE5,24.0,FLASH 1 (cached)
XMC_ETH_MAC_GetEventStatu,FUNC,0x080016CD,24.0,FLASH 1 (cached)
xDefaultPartUDPPacketHead,OBJECT,0x20009EF8,24.0,DSRAM 1 (system)
_ZN8LedTask_D1Ev,FUNC,0x0800B66D,24.0,FLASH 1 (cached)
strlen,FUNC,0x0800A58D,24.0,FLASH 1 (cached)
XMC_SCU_RESET_AssertPerip,FUNC,0x08000D61,24.0,FLASH 1 (cached)
uxTaskResetEventItemValue,FUNC,0x08003A1D,24.0,FLASH 1 (cached)
vListInitialise,FUNC,0x080021AD,22.0,FLASH 1 (cached)
XMC_SPI_CH_Stop,FUNC,0x0800193D,22.0,FLASH 1 (cached)
xTCPWindowRxEmpty,FUNC,0x080085C1,22.0,FLASH 1 (cached)
XMC_SPI_CH_EnableEvent,FUNC,0x08001955,22.0,FLASH 1 (cached)
xTasksWaitingTermination,OBJECT,0x20000810,20.0,DSRAM 1 (system)
xSuspendedTaskList,OBJECT,0x20000824,20.0,DSRAM 1 (system)
xPendingReadyList,OBJECT,0x2000090C,20.0,DSRAM 1 (system)
xDelayedTaskList2,OBJECT,0x2000092C,20.0,DSRAM 1 (system)
xDelayedTaskList1,OBJECT,0x20000944,20.0,DSRAM 1 (system)
xActiveTimerList1,OBJECT,0x20000970,20.0,DSRAM 1 (system)
xActiveTimerList2,OBJECT,0x20000984,20.0,DSRAM 1 (system)
xCallbackList,OBJECT,0x20009240,20.0,DSRAM 1 (system)
xARPTimer,OBJECT,0x20009284,20.0,DSRAM 1 (system)
xDNSTimer,OBJECT,0x20009298,20.0,DSRAM 1 (system)
xDHCPTimer,OBJECT,0x200092B8,20.0,DSRAM 1 (system)
xTCPTimer,OBJECT,0x200092CC,20.0,DSRAM 1 (system)
xSegmentList,OBJECT,0x200092F4,20.0,DSRAM 1 (system)
xFreeBuffersList,OBJECT,0x20009B90,20.0,DSRAM 1 (system)
_malloc_usable_size_r,FUNC,0x0800C249,20.0,FLASH 1 (cached)
_ZTV8Logger__,OBJECT,0x0800C908,20.0,FLASH 1 (cached)
UART_Api_Functions,OBJECT,0x2000A06C,20.0,DSRAM 1 (system)
xIsDHCPSocket,FUNC,0x08004B25,20.0,FLASH 1 (cached)
FreeRTOS_GetTCPStateName,FUNC,0x08008349,20.0,FLASH 1 (cached)
xNetworkAddressing,OBJECT,0x2000926C,20.0,DSRAM 1 (system)
XMC_UART_CH_GetReceivedDa,FUNC,0x08001A21,20.0,FLASH 1 (cached)
xBoundTCPSocketsList,OBJECT,0x20009E90,20.0,DSRAM 1 (system)
xDefaultAddressing,OBJECT,0x20009254,20.0,DSRAM 1 (system)
ext_flash,OBJECT,0x20009C20,20.0,DSRAM 1 (system)
ulTCPWindowTxAck,FUNC,0x08008B11,20.0,FLASH 1 (cached)
xBoundUDPSocketsList,OBJECT,0x20009EA4,20.0,DSRAM 1 (system)
XMC_SPI_CH_GetReceivedDat,FUNC,0x08001929,20.0,FLASH 1 (cached)
XMC_SPI_CH_DisableSlaveSe,FUNC,0x08001915,18.0,FLASH 1 (cached)
ucDHCPDiscoverOptions.613,OBJECT,0x0800C36C,17.0,FLASH 1 (cached)
g_xmc_vadc_group_array,OBJECT,0x0800C31C,16.0,FLASH 1 (cached)
CCU80_Channel2_Compare_Co,OBJECT,0x2000A138,16.0,DSRAM 1 (system)
CCU80_Channel0_Compare_Co,OBJECT,0x2000A298,16.0,DSRAM 1 (system)
_GLOBAL__sub_D_ext_flash,FUNC,0x0800B2F1,16.0,FLASH 1 (cached)
VADC0_C0_0_IRQHandler,FUNC,0x08009521,16.0,FLASH 1 (cached)
CCU4_channel_timer_contro,FUNC,0x0800A975,16.0,FLASH 1 (cached)
VADC_Group0_Channels,OBJECT,0x20009EB8,16.0,DSRAM 1 (system)
vARPSendGratuitous,FUNC,0x080046AD,16.0,FLASH 1 (cached)
FreeRTOS_ClearARP,FUNC,0x080047A5,16.0,FLASH 1 (cached)
CAN2_Events,OBJECT,0x2000A390,16.0,DSRAM 1 (system)
XMC_SPI_CH_EnableSlaveSel,FUNC,0x08001905,16.0,FLASH 1 (cached)
pxUDPPayloadBuffer_to_Net,FUNC,0x08004E0D,16.0,FLASH 1 (cached)
vTaskSuspendAll,FUNC,0x080030CD,16.0,FLASH 1 (cached)
_ZTV15ExternalFlash__,OBJECT,0x0800C8C0,16.0,FLASH 1 (cached)
XMC_VADC_GROUP_SetPowerMo,FUNC,0x08001DA9,16.0,FLASH 1 (cached)
CCU8_channel_timer_contro,FUNC,0x0800AB29,16.0,FLASH 1 (cached)
memset,FUNC,0x0800A57D,16.0,FLASH 1 (cached)
XMC_CAN_Disable,FUNC,0x08000EB1,16.0,FLASH 1 (cached)
CAN1_Events,OBJECT,0x2000A430,16.0,DSRAM 1 (system)
_ZTV8LedTask_,OBJECT,0x0800C930,16.0,FLASH 1 (cached)
FreeRTOS_ReleaseUDPPayloa,FUNC,0x08004E1D,16.0,FLASH 1 (cached)
vPortEnableVFP,FUNC,0x08003EAD,14.0,FLASH 1 (cached)
XMC_CCU4_SetModuleClock,FUNC,0x08001109,14.0,FLASH 1 (cached)
_ZN8Logger__D0Ev,FUNC,0x0800B451,14.0,FLASH 1 (cached)
VADC_background_scan_star,FUNC,0x08009479,14.0,FLASH 1 (cached)
XMC_CAN_MO_UpdateData,FUNC,0x08000FB9,14.0,FLASH 1 (cached)
XMC_CCU8_SLICE_DeadTimeIn,FUNC,0x080013D9,14.0,FLASH 1 (cached)
XMC_CCU8_SetModuleClock,FUNC,0x080012B1,14.0,FLASH 1 (cached)
XMC_CCU4_SLICE_Capture1Co,FUNC,0x0800119D,14.0,FLASH 1 (cached)
XMC_CCU4_SLICE_Capture0Co,FUNC,0x0800118D,14.0,FLASH 1 (cached)
VADC_BackgroundScan_Group,OBJECT,0x20009F40,12.0,DSRAM 1 (system)
VADC_BackgroundScan,OBJECT,0x20009F80,12.0,DSRAM 1 (system)
VADC_Background_Scan_Conf,OBJECT,0x20009F70,12.0,DSRAM 1 (system)
CSWTCH.26,OBJECT,0x0800C894,12.0,FLASH 1 (cached)
CCU80_Channel0_DeadTime_C,OBJECT,0x2000A28C,12.0,DSRAM 1 (system)
CCU80_Channel2_DeadTime_C,OBJECT,0x2000A1BC,12.0,DSRAM 1 (system)
CAN_GlobalConfiguration,OBJECT,0x2000A338,12.0,DSRAM 1 (system)
CAN2_BitConfiguration,OBJECT,0x2000A320,12.0,DSRAM 1 (system)
CAN1_BitConfiguration,OBJECT,0x2000A32C,12.0,DSRAM 1 (system)
CCU42_Channel0_Handle,OBJECT,0x2000A280,12.0,DSRAM 1 (system)
CAN1,OBJECT,0x2000A440,12.0,DSRAM 1 (system)
_ZN15ExternalFlash__D2Ev,FUNC,0x0800B2AD,12.0,FLASH 1 (cached)
UART_Channel_2,OBJECT,0x2000A05C,12.0,DSRAM 1 (system)
__errno,FUNC,0x0800B9DD,12.0,FLASH 1 (cached)
CCU80_Channel1_Handle,OBJECT,0x2000A148,12.0,DSRAM 1 (system)
CCU40_Channel0_Handle,OBJECT,0x2000A174,12.0,DSRAM 1 (system)
XMC_SCU_CLOCK_EnableClock,FUNC,0x08000DA9,12.0,FLASH 1 (cached)
CCU40_Channel3_Handle,OBJECT,0x2000A2C4,12.0,DSRAM 1 (system)
uxGetNumberOfFreeNetworkB,FUNC,0x08009301,12.0,FLASH 1 (cached)
_ZN15ExternalFlash__D0Ev,FUNC,0x0800B2B9,12.0,FLASH 1 (cached)
xTaskGetTickCount,FUNC,0x080030DD,12.0,FLASH 1 (cached)
xTCPWindowTxDone,FUNC,0x08008989,12.0,FLASH 1 (cached)
UART_Channel_0,OBJECT,0x2000A04C,12.0,DSRAM 1 (system)
CAN2,OBJECT,0x2000A44C,12.0,DSRAM 1 (system)
CCU80_Channel0_Handle,OBJECT,0x2000A2B8,12.0,DSRAM 1 (system)
_ZN15ExternalFlash__D1Ev,FUNC,0x0800B2AD,12.0,FLASH 1 (cached)
uxGetMinimumFreeNetworkBu,FUNC,0x0800930D,12.0,FLASH 1 (cached)
vDNSInitialise,FUNC,0x08004D05,12.0,FLASH 1 (cached)
USIC2_2_IRQHandler,FUNC,0x0800A52D,12.0,FLASH 1 (cached)
CCU40_Channel1_Handle,OBJECT,0x2000A120,12.0,DSRAM 1 (system)
xTaskGetCurrentTaskHandle,FUNC,0x080037F1,12.0,FLASH 1 (cached)
FreeRTOS_IsNetworkUp,FUNC,0x080057B1,12.0,FLASH 1 (cached)
USIC2_0_IRQHandler,FUNC,0x0800A515,12.0,FLASH 1 (cached)
vTaskMissedYield,FUNC,0x080037E5,12.0,FLASH 1 (cached)
CCU80_Channel2_Handle,OBJECT,0x2000A26C,12.0,DSRAM 1 (system)
xIPIsNetworkTaskReady,FUNC,0x080057A5,12.0,FLASH 1 (cached)
USIC2_1_IRQHandler,FUNC,0x0800A521,12.0,FLASH 1 (cached)
USIC0_1_IRQHandler,FUNC,0x08009C99,12.0,FLASH 1 (cached)
XMC_SCU_CLOCK_DisableCloc,FUNC,0x08000DB5,12.0,FLASH 1 (cached)
USIC1_2_IRQHandler,FUNC,0x08009CA5,12.0,FLASH 1 (cached)
USIC0_2_IRQHandler,FUNC,0x08009C8D,12.0,FLASH 1 (cached)
SPI2_Channel0_Handle,OBJECT,0x2000A0AC,12.0,DSRAM 1 (system)
DebugMon_Handler_Veneer,FUNC,0x0800037B,10.0,FLASH 1 (cached)
_ZN12ServerTask__12server,FUNC,0x0800B6A1,10.0,FLASH 1 (cached)
XMC_CCU4_SLICE_GetCapture,FUNC,0x08001225,10.0,FLASH 1 (cached)
SCU_0_IRQHandler_Veneer,FUNC,0x0800039F,10.0,FLASH 1 (cached)
ERU0_1_IRQHandler_Veneer,FUNC,0x080003B7,10.0,FLASH 1 (cached)
ERU0_3_IRQHandler_Veneer,FUNC,0x080003CF,10.0,FLASH 1 (cached)
SysTick_Handler_Veneer,FUNC,0x08000393,10.0,FLASH 1 (cached)
BusFault_Handler_Veneer,FUNC,0x08000357,10.0,FLASH 1 (cached)
_ZN12ClientTask__12client,FUNC,0x0800B6AD,10.0,FLASH 1 (cached)
ERU0_0_IRQHandler_Veneer,FUNC,0x080003AB,10.0,FLASH 1 (cached)
NMI_Handler_Veneer,FUNC,0x08000333,10.0,FLASH 1 (cached)
SVC_Handler_Veneer,FUNC,0x0800036F,10.0,FLASH 1 (cached)
vReleaseNetworkBuffer,FUNC,0x08009201,10.0,FLASH 1 (cached)
_ZN12ServerTask__20server,FUNC,0x0800B661,10.0,FLASH 1 (cached)
XMC_CCU8_SLICE_SetTimerCo,FUNC,0x08001395,10.0,FLASH 1 (cached)
MemManage_Handler_Veneer,FUNC,0x0800034B,10.0,FLASH 1 (cached)
HardFault_Handler_Veneer,FUNC,0x0800033F,10.0,FLASH 1 (cached)
UsageFault_Handler_Veneer,FUNC,0x08000363,10.0,FLASH 1 (cached)
PendSV_Handler_Veneer,FUNC,0x08000387,10.0,FLASH 1 (cached)
ERU0_2_IRQHandler_Veneer,FUNC,0x080003C3,10.0,FLASH 1 (cached)
xStart,OBJECT,0x200009BC,8.0,DSRAM 1 (system)
xNetworkDownEvent.6878,OBJECT,0x0800C3B4,8.0,FLASH 1 (cached)
SPI2_Channel0_Transmit_In,OBJECT,0x2000A0A4,8.0,DSRAM 1 (system)
SPI2_Channel0_Protocol_In,OBJECT,0x2000A0B8,8.0,DSRAM 1 (system)
SPI2_Channel0_ChannelConf,OBJECT,0x2000A0E0,8.0,DSRAM 1 (system)
SPI2_Channel0_Receive_Int,OBJECT,0x2000A114,8.0,DSRAM 1 (system)
CCU40_Channel0_Capture_Co,OBJECT,0x2000A12C,8.0,DSRAM 1 (system)
CCU80_Channel0_Interrupt_,OBJECT,0x2000A2EC,8.0,DSRAM 1 (system)
CCU40_Channel0_Interrupt_,OBJECT,0x2000A2D0,8.0,DSRAM 1 (system)
CCU42_Channel0_Compare_Co,OBJECT,0x2000A260,8.0,DSRAM 1 (system)
CCU42_Channel0_Interrupt_,OBJECT,0x2000A2D8,8.0,DSRAM 1 (system)
CCU80_Channel2_Interrupt_,OBJECT,0x2000A304,8.0,DSRAM 1 (system)
CCU42_Configuration,OBJECT,0x2000A2A8,8.0,DSRAM 1 (system)
CCU40_Channel1_Interrupt_,OBJECT,0x2000A210,8.0,DSRAM 1 (system)
CCU40_Channel3_Compare_Co,OBJECT,0x2000A218,8.0,DSRAM 1 (system)
CCU40_Channel3_Interrupt_,OBJECT,0x2000A2E4,8.0,DSRAM 1 (system)
CCU40_Channel1_Capture_Co,OBJECT,0x2000A2FC,8.0,DSRAM 1 (system)
CCU40_Configuration,OBJECT,0x2000A2B0,8.0,DSRAM 1 (system)
CCU80_Configuration,OBJECT,0x2000A278,8.0,DSRAM 1 (system)
CCU80_1_IRQHandler_Veneer,FUNC,0x080005E3,8.0,FLASH 1 (cached)
LEDTS0_0_IRQHandler_Venee,FUNC,0x08000755,8.0,FLASH 1 (cached)
CCU42_3_IRQHandler_Veneer,FUNC,0x080005A7,8.0,FLASH 1 (cached)
DSD0_1_IRQHandler_Veneer,FUNC,0x080004DF,8.0,FLASH 1 (cached)
USB0_0_IRQHandler_Veneer,FUNC,0x0800077D,8.0,FLASH 1 (cached)
CCU43_3_IRQHandler_Veneer,FUNC,0x080005CF,8.0,FLASH 1 (cached)
gpio_init_c,FUNC,0x0800A649,8.0,FLASH 1 (cached)
FCE0_0_IRQHandler_Veneer,FUNC,0x0800075F,8.0,FLASH 1 (cached)
CCU41_2_IRQHandler_Veneer,FUNC,0x08000575,8.0,FLASH 1 (cached)
DAC0_0_IRQHandler_Veneer,FUNC,0x08000525,8.0,FLASH 1 (cached)
CAN2_Interrupt_Configurat,OBJECT,0x2000A3C0,8.0,DSRAM 1 (system)
CAN0_3_IRQHandler_Veneer,FUNC,0x0800066F,8.0,FLASH 1 (cached)
VADC0_G3_0_IRQHandler_Ven,FUNC,0x080004AD,8.0,FLASH 1 (cached)
DSD0_2_IRQHandler_Veneer,FUNC,0x080004E9,8.0,FLASH 1 (cached)
CCU41_0_IRQHandler_Veneer,FUNC,0x08000561,8.0,FLASH 1 (cached)
ERU1_1_IRQHandler_Veneer,FUNC,0x080003E5,8.0,FLASH 1 (cached)
CCU40_3_IRQHandler_Veneer,FUNC,0x08000557,8.0,FLASH 1 (cached)
USIC0_4_IRQHandler_Veneer,FUNC,0x080006C9,8.0,FLASH 1 (cached)
USIC2_4_IRQHandler_Veneer,FUNC,0x08000741,8.0,FLASH 1 (cached)
USIC1_0_IRQHandler_Veneer,FUNC,0x080006DD,8.0,FLASH 1 (cached)
CCU80_2_IRQHandler_Veneer,FUNC,0x080005ED,8.0,FLASH 1 (cached)
CCU81_1_IRQHandler_Veneer,FUNC,0x0800060B,8.0,FLASH 1 (cached)
CAN0_2_IRQHandler_Veneer,FUNC,0x08000665,8.0,FLASH 1 (cached)
USIC0_2_IRQHandler_Veneer,FUNC,0x080006B5,8.0,FLASH 1 (cached)
SDMMC0_0_IRQHandler_Venee,FUNC,0x08000773,8.0,FLASH 1 (cached)
VADC0_C0_2_IRQHandler_Ven,FUNC,0x08000421,8.0,FLASH 1 (cached)
POSIF0_1_IRQHandler_Venee,FUNC,0x08000633,8.0,FLASH 1 (cached)
CCU80_0_IRQHandler_Veneer,FUNC,0x080005D9,8.0,FLASH 1 (cached)
VADC0_G2_2_IRQHandler_Ven,FUNC,0x08000499,8.0,FLASH 1 (cached)
VADC0_G1_0_IRQHandler_Ven,FUNC,0x0800045D,8.0,FLASH 1 (cached)
CCU40_2_IRQHandler_Veneer,FUNC,0x0800054D,8.0,FLASH 1 (cached)
